epoch,accuracy,loss,lr,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.289813756942749,1.9638495445251465,0.001,0.5040427446365356,0.4307515025138855,1.4529519081115723,0.6504462957382202
1,0.35749348998069763,1.6648730039596558,0.001,0.5852223634719849,0.5338324308395386,1.2543827295303345,0.7506478428840637
2,0.3849985599517822,1.5621978044509888,0.001,0.6235922574996948,0.460696816444397,1.3548626899719238,0.6896055340766907
3,0.39828184247016907,1.504144310951233,0.001,0.6378501057624817,0.5269219875335693,1.2825618982315063,0.7428736090660095
4,0.40084463357925415,1.5131394863128662,0.001,0.6395466327667236,0.5436222553253174,1.2669627666473389,0.7535272240638733
5,0.4048512876033783,1.4969347715377808,0.001,0.6494730114936829,0.5456377863883972,1.2272056341171265,0.7682119011878967
6,0.40416547656059265,1.510055661201477,0.001,0.649364709854126,0.5430463552474976,1.2233977317810059,0.7673481106758118
7,0.41124024987220764,1.45823335647583,0.001,0.6550678610801697,0.548517107963562,1.2266594171524048,0.7607256174087524
8,0.4117094874382019,1.4671367406845093,0.001,0.6490398645401001,0.5513964891433716,1.2478115558624268,0.7676360607147217
9,0.41445279121398926,1.4449143409729004,0.001,0.6572335958480835,0.4892024099826813,1.3024934530258179,0.7163835167884827
10,0.4129728674888611,1.4518816471099854,0.001,0.6564034223556519,0.512813150882721,1.2758920192718506,0.7379786968231201
11,0.411384642124176,1.4778482913970947,0.001,0.6484984159469604,0.40627700090408325,1.4327847957611084,0.6780881285667419
12,0.4142723083496094,1.4888392686843872,0.001,0.6544181108474731,0.39850273728370667,1.4395675659179688,0.6708897352218628
13,0.4126479923725128,1.4809496402740479,0.001,0.6582081913948059,0.4546501636505127,1.3648881912231445,0.705441951751709
14,0.4164019525051117,1.4509835243225098,0.0005,0.6568004488945007,0.5168442130088806,1.2700657844543457,0.7420098185539246
